gauge_id,route_id,gauge_area,route_area,pct_area_bias,flag,riv_name
81168,5036967,4618750.00,4671598.00,      1.14,0,Amazon
9894,2063700,3475000.00,3615448.00,      4.04,0,Congo
9910,5036706, 836000.00, 821601.88,     -1.72,0,Orinoco
9306,1072854,1705383.00,1678381.12,     -1.58,0,Changjiang
9270,1072135, 554542.00, 513949.44,     -7.32,0,Brahmaputra
9598,3045386,2896021.00,2884791.50,     -0.39,0,Mississippi
90973,1073016,2440000.00,2443926.00,      0.16,0,Yenisey
35021,5036937,2346000.00,2521089.25,      7.46,0,Parana
91050,1073012,2430000.00,2437270.00,      0.30,0,Lena
9903,1072177, 545000.00, 548205.00,      0.59,0,Mekong
81329,5036660, 742300.00, 757303.69,      2.02,0,Tocantins
81192,5036384, 387378.00, 387405.88,      0.01,0,Tapajos
91082,1073084,2430000.00, 2877918.67,    18.43,1,Ob
9227,1072649, 951600.00, 928331.12,     -2.45,0,Ganges (Ganga)
9900,1070270, 117900.00, 123868.69,      5.06,0,Irrawaddy (Ayey
9550,3045137, 773888.00, 773333.31,     -0.07,0,St Lawrence
90271,1072921,1730000.00,1876739.62,      8.48,0,Amur
81217,5036405, 446388.00, 447034.50,      0.14,0,Xingu
10224,3045349,1660000.00,1673081.12,      0.79,0,Mackenzie
9301,1071629, 329705.00, 313545.75,     -4.90,0,Xijiang
9560,3044965, 613827.00, 601898.19,     -1.94,0,Columbia
9400,5036061, 257438.00, 258070.12,      0.25,0,Magdalena
9370,5036010, 249312.00, 244074.20,     -2.10,0,Uruguay (Urugua
10623,3045177, 831386.00,819579.82,     -1.42,0,Yukon
9403,5030641,   9432.00,   9390.27,     -0.44,0,Atrato
9763,4037627, 807000.00, 779964.31,     -3.35,0,Danube
9052,2063497,2209302.50,2062308.75,     -6.65,0,Niger (Issa Ber
9038,2062452, 203500.00, 203695.50,      0.10,0,Ogoou
9360,5034957,  66600.00,  68581.73,      2.98,0,Essequibo
9504,3044489, 217000.00, 216551.44,     -0.21,0,Fraser
91103,4037432, 312000.00, 303550.03,     -2.71,0,Pechora
9483,3045195, 997000.00, 945618.25,     -5.15,0,Nelson
95213,1071468, 275000.00, 272451.72,     -0.93,0,Khatanga
9736,6021074,  40922.00,  29099.20,    -28.89,0,Sepik
95067,1072172, 526000.00, 535993.69,      1.90,0,Kolyma
9114,2063288, 940000.00,1103291.00,     17.37,0,Zambeze
91128,4037436, 348000.00, 313032.00,    -10.05,0,Severnaya Dvina
9275,1072558, 975000.00, 844094.19,    -13.43,0,Indus
9079,2062037, 131500.00, 131849.02,      0.27,0,Sanaga
9226,1071606, 299320.00, 308200.34,      2.97,0,Godavari
10006,6021188,  34053.00,  35176.24,      3.30,0,Rajang
81748,5036575, 622600.00, 626522.50,      0.63,0,Sao Francisco
9626,3042793,  50743.00,  49696.61,     -2.06,0,Usumacinta
9366,5034852,  63700.00,  63462.48,     -0.37,0,Maroni (Marowij
