gauge_id,route_id,gauge_area,route_area,pct_area_bias,flag,riv_name
81168,5036967,4618750.00,4671598.00,      1.14,0,Amazon
9894,2063700,3475000.00,3615448.00,      4.04,0,Congo
9910,5036706, 836000.00, 821601.88,     -1.72,0,Orinoco
9306,1072854,1705383.00,1678381.12,     -1.58,0,Changjiang
9270,1072135, 554542.00, 513949.44,     -7.32,0,Brahmaputra
9598,3045386,2896021.00,2884791.50,     -0.39,0,Mississippi
90973,1073016,2440000.00,2443926.00,      0.16,0,Yenisey
35021,5036937,2346000.00,2521089.25,      7.46,0,Parana
91050,1073012,2430000.00,2437270.00,      0.30,0,Lena
9903,1072177, 545000.00, 548205.00,      0.59,0,Mekong
81329,5036660, 742300.00, 757303.69,      2.02,0,Tocantins
91082,1073084,2430000.00, 2877918.67,    18.43,1,Ob
9227,1072649, 951600.00, 928331.12,     -2.45,0,Ganges (Ganga)
9900,1070270, 117900.00, 123868.69,      5.06,0,Irrawaddy (Ayey
9550,3045137, 773888.00, 773333.31,     -0.07,0,St Lawrence
90271,1072921,1730000.00,1876739.62,      8.48,0,Amur
10224,3045349,1660000.00,1673081.12,      0.79,0,Mackenzie
9301,1071629, 329705.00, 313545.75,     -4.90,0,Xijiang
9560,3044965, 613827.00, 601898.19,     -1.94,0,Columbia
9400,5036061, 257438.00, 258070.12,      0.25,0,Magdalena
9370,5036010, 249312.00, 244074.20,     -2.10,0,Uruguay (Urugua
10623,3045177, 831386.00,819579.82,     -1.42,0,Yukon
9763,4037627, 807000.00, 779964.31,     -3.35,0,Danube
9052,2063497,2209302.50,2062308.75,     -6.65,0,Niger (Issa Ber
