gauge_id,route_id,gauge_area,route_area,pct_area_bias,flag,riv_name
81168,62022237,4618750.00,4672174.00,      1.16,0,Amazon
9894,13060253,3475000.00,3604610.25,      3.73,0,Congo
9910,61010282, 836000.00, 820993.44,     -1.80,0,Orinoco
9306,43049534,1705383.00,1676435.12,     -1.70,0,Changjiang
9270,45047939, 554542.00, 512383.66,     -7.60,0,Brahmaputra
9598,74069845,2896021.00,2902761.00,      0.23,0,Mississippi
90973,32004213,2440000.00,2439895.75,     -0.00,0,Yenisey
35021,64072286,2346000.00,2558636.25,      9.06,0,Parana
91050,34000885,2430000.00,2423299.25,     -0.28,0,Lena
9903,44032581, 545000.00, 547282.75,      0.42,0,Mekong
81329,62037849, 742300.00, 758457.50,      2.18,0,Tocantins
81192,62053533, 387378.00, 387587.69,      0.05,0,Tapajos
91082,31004365,2430000.00,2485278.50,      2.27,0,Ob
9227,45047787, 951600.00, 929118.00,     -2.36,0,Ganges (Ganga)
9900,44011979, 117900.00, 124780.95,      5.84,0,Irrawaddy (Ayey
9550,72045866, 773888.00, 773359.31,     -0.07,0,St Lawrence
90271,42017804,1730000.00,1742519.62,      0.72,0,Amur
81217,62037927, 446388.00, 447011.47,      0.14,0,Xingu
10224,82004018,1660000.00,1673841.50,      0.83,0,Mackenzie
9301,43088478, 329705.00, 302376.38,     -8.29,0,Xijiang
9560,78019673, 613827.00, 601359.69,     -2.03,0,Columbia
9400,61001792, 257438.00, 256838.09,     -0.23,0,Magdalena
9370,64066925, 249312.00, 243647.86,     -2.27,0,Uruguay (Urugua
10623,81023600, 831386.00, 825514.00,     -0.71,0,Yukon
9403,61018004,   9432.00,   9400.45,     -0.33,0,Atrato
9763,22034365, 807000.00, 785918.44,     -2.61,0,Danube
9052,14067235,2209302.50,1990629.00,     -9.90,0,Niger (Issa Ber
9038,13043112, 203500.00, 203530.66,      0.02,0,Ogoou
9360,61021955,  66600.00,  67568.09,      1.45,0,Essequibo
9504,78011886, 217000.00, 217166.06,      0.08,0,Fraser
91103,26002326, 312000.00, 309532.75,     -0.79,0,Pechora
9483,71011343, 997000.00, 976120.00,     -2.09,0,Nelson
95213,33007011, 275000.00, 273507.00,     -0.54,0,Khatanga
9736,53006417,  40922.00,  29671.70,    -27.49,0,Sepik
95067,35006977, 526000.00, 528829.69,      0.54,0,Kolyma
9114,12017857, 940000.00,1099924.00,     17.01,0,Zambeze
91128,26008700, 348000.00, 347258.03,     -0.21,0,Severnaya Dvina
9275,45047762, 975000.00, 831567.38,    -14.71,0,Indus
9079,13016685, 131500.00, 131825.62,      0.25,0,Sanaga
9226,45090811, 299320.00, 307735.06,      2.81,0,Godavari
10006,52009974,  34053.00,  31695.31,     -6.92,0,Rajang
81748,63018589, 622600.00, 626811.31,      0.68,0,Sao Francisco
9626,75038222,  50743.00,  48745.12,     -3.94,0,Usumacinta
9366,61026946,  63700.00,  62465.02,     -1.94,0,Maroni (Marowij
9909,23004342, 180000.00, 159595.86,    -11.34,0,Rhine
9733,53011754,  28749.00,  26199.67,     -8.87,0,Purari
9459,72006039,  86800.00,  87875.19,      1.24,0,Caniapiscau
9232,45070339, 132090.00, 119568.12,     -9.48,0,Mahanadi
9558,77013274,  60885.00,  63785.36,      4.76,0,Sacramento
82914,64060705,  71454.00,  71367.95,     -0.12,0,Jacui
9455,67000596,  14000.00,  15106.58,      7.90,0,San Juan CO
9080,14057879,  60500.00,  61485.93,      1.63,0,Bnou
9620,81023684,  80549.00,  80599.10,      0.06,0,Kuskokwim
9489,71027403, 118000.00, 117960.09,     -0.03,0,Albany
9304,43041007, 121330.00, 123155.11,      1.50,0,Huai
9463,72016167,  96300.00,  96576.06,      0.29,0,Grande (La)
9213,29014947, 134000.00, 135396.25,      1.04,0,"Tigris (Dicle,"
9228,45090818, 251355.00, 255765.11,      1.75,0,Krishna
9520,72045985,  89600.00,  91428.66,      2.04,0,Ottawa
80372,44005667,  27420.00,  27393.32,     -0.10,0,Chindwin
95864,31004433, 100000.00, 112225.84,     12.23,0,Taz
9848,21003371,  70091.00,  72906.98,      4.02,0,Po
9363,61026845,  51600.00,  50780.43,     -1.59,0,Courantyne/Cora
90982,35002083, 305000.00, 303918.69,     -0.35,0,Indigirka
9802,21003367,  95590.00,  95717.03,      0.13,0,Rhone
9521,72034279,  73000.00,  72923.00,     -0.11,0,Saguenay
9545,73017491,  56894.00,  57017.00,      0.22,0,Alabama
10620,78002122,  51593.00,  51028.98,     -1.09,0,Stikine
9464,72020747,  44300.00,  45180.78,      1.99,0,Eastmain
9255,45070842,  50000.00,  22979.66,    -54.04,1,Brahmani
97062,22019470, 463000.00, 470543.12,      1.63,0,Dnepr
31037,43022218, 734146.00, 739041.50,      0.67,0,Huanghe
81197,62054010,  40400.00,  40305.96,     -0.23,0,Jamanxim
9539,73005105,  62419.00,  62231.02,     -0.30,0,Susquehanna
31060,43088723,  38363.00,  38543.43,      0.47,0,Beijiang
90553,22019492, 378000.00, 380604.72,      0.69,0,Don
10621,81023873,  50246.00,  50123.57,     -0.24,0,Susitna
9231,45070554,  89345.00,  87483.36,     -2.08,0,Narmada
35235,65029569,  15550.00,  17009.12,      9.38,0,Santa Cruz
9362,61031700,  25100.00,  24509.17,     -2.35,0,Oyapock (Oiapoq
9457,72003646,  35200.00,  35088.43,     -0.32,0,George
9979,11054901, 158200.00, 158221.17,      0.01,0,Rufiji
9143,17000290,2900000.00,3032264.50,      4.56,0,Nile
9466,72025331,  57500.00,  57766.17,      0.46,0,Nottaway
9074,14076746, 394100.00, 402801.06,      2.21,0,Volta
9562,78019770,  18855.00,  18892.09,      0.20,0,Willamette
9506,78003962,  42200.00,  42248.54,      0.12,0,Skeena
9803,23022455,  52000.00,  50320.82,     -3.23,0,Garonne
9555,74069854, 174824.00, 174377.16,     -0.26,0,Red
9281,44050266,  19000.00,  19040.38,      0.21,0,Pahang
9490,71033624,  61100.00,  61961.82,      1.41,0,Moose
80368,44032752, 118816.00, 118151.17,     -0.56,0,Chao Phraya
9361,61017962,  53400.00,  53196.74,     -0.38,0,Cuyuni
9871,24027710, 194000.00, 194189.06,      0.10,0,Vistula (Wisla)
9564,81023771,  53354.00,  54975.77,      3.04,0,Copper
9534,72046298,  39900.00,  40022.59,      0.31,0,Saint John
95214,33006991, 198000.00, 197385.20,     -0.31,0,Olenek
