gauge_id,route_id,gauge_area,route_area,pct_area_bias,flag,riv_name
81168,62022237,4618750.00,4672174.00,      1.16,0,Amazon
9894,13060253,3475000.00,3604610.25,      3.73,0,Congo
9910,61010282, 836000.00, 820993.44,     -1.80,0,Orinoco
9306,43049534,1705383.00,1676435.12,     -1.70,0,Changjiang
9270,45047939, 554542.00, 512383.66,     -7.60,0,Brahmaputra
9598,74069845,2896021.00,2902761.00,      0.23,0,Mississippi
90973,32004213,2440000.00,2439895.75,     -0.00,0,Yenisey
35021,64072286,2346000.00,2558636.25,      9.06,0,Parana
91050,34000885,2430000.00,2423299.25,     -0.28,0,Lena
9903,44032581, 545000.00, 547282.75,      0.42,0,Mekong
81329,62037849, 742300.00, 758457.50,      2.18,0,Tocantins
91082,31004365,2430000.00,2485278.50,      2.27,0,Ob
9227,45047787, 951600.00, 929118.00,     -2.36,0,Ganges (Ganga)
9900,44011979, 117900.00, 124780.95,      5.84,0,Irrawaddy (Ayey
9550,72045866, 773888.00, 773359.31,     -0.07,0,St Lawrence
90271,42017804,1730000.00,1742519.62,      0.72,0,Amur
10224,82004018,1660000.00,1673841.50,      0.83,0,Mackenzie
9301,43088478, 329705.00, 302376.38,     -8.29,0,Xijiang
9560,78019673, 613827.00, 601359.69,     -2.03,0,Columbia
9400,61001792, 257438.00, 256838.09,     -0.23,0,Magdalena
9370,64066925, 249312.00, 243647.86,     -2.27,0,Uruguay (Urugua
10623,81023600, 831386.00, 825514.00,     -0.71,0,Yukon
9763,22034365, 807000.00, 785918.44,     -2.61,0,Danube
9052,14067235,2209302.50,1990629.00,     -9.90,0,Niger (Issa Ber
