date,water_level,error
2002-01-16,156.819,0.001
2002-01-26,156.891,0.001
2002-02-04,156.805,0.001
2002-02-14,156.808,0.000
2002-02-24,156.788,0.001
2002-03-06,156.844,0.001
2002-03-16,156.842,0.000
2002-04-05,156.730,0.000
2002-04-15,156.781,0.000
2002-04-25,156.720,0.000
2002-05-05,156.659,0.001
2002-05-15,156.851,0.000
2002-06-03,156.806,0.000
2002-06-13,156.845,0.000
2002-06-23,157.009,0.001
2002-07-13,156.889,0.000
2002-08-02,156.930,0.001
2002-08-12,156.921,0.000
2002-08-22,156.902,0.000
2002-09-01,156.829,0.000
2002-09-11,156.968,0.000
2002-09-21,156.871,0.001
2002-09-30,156.870,0.000
2002-10-10,156.828,0.000
2002-10-20,156.687,0.001
2002-10-30,156.780,0.001
2002-11-09,156.853,0.001
2002-12-29,156.776,0.001
2003-01-08,156.780,0.001
2003-01-17,156.798,0.001
2003-01-27,156.778,0.000
2003-02-06,156.798,0.000
2003-02-16,156.822,0.001
2003-02-26,156.837,0.000
2003-03-08,156.865,0.000
2003-03-18,156.760,0.000
2003-03-28,156.771,0.001
2003-04-07,156.778,0.000
2003-04-17,156.859,0.000
2003-04-27,156.907,0.000
2003-05-07,156.801,0.000
2003-05-16,156.905,0.000
2003-06-05,156.957,0.001
2003-06-15,157.092,0.000
2003-06-25,157.141,0.000
2003-07-25,156.968,0.000
2003-08-04,156.869,0.000
2003-08-14,156.933,0.001
2003-08-24,156.914,0.000
2003-09-03,156.972,0.001
2003-09-12,156.975,0.000
2003-09-22,156.877,0.000
2003-10-02,156.900,0.001
2003-10-12,156.947,0.001
2003-10-22,156.863,0.001
2003-11-01,156.853,0.000
2003-11-11,156.784,0.001
2004-01-09,156.872,0.001
2004-01-19,156.862,0.000
2004-01-29,156.788,0.000
2004-02-08,156.862,0.001
2004-02-28,156.794,0.001
2004-03-09,156.840,0.000
2004-03-19,156.743,0.000
2004-03-29,156.648,0.000
2004-04-08,156.854,0.002
2004-04-18,156.811,0.002
2004-04-28,156.811,0.004
2004-05-07,156.749,0.002
2004-05-17,156.783,0.003
2004-05-27,156.954,0.001
2004-06-06,156.981,0.001
2004-06-16,157.020,0.000
2004-06-26,157.095,0.001
2004-07-06,157.198,0.000
2004-07-16,157.096,0.010
2004-08-05,156.906,0.000
2004-08-15,156.911,0.000
2004-08-25,156.947,0.000
2004-09-03,156.951,0.000
2004-09-13,156.938,0.000
2004-09-23,156.892,0.000
2004-10-03,156.807,0.000
2004-10-13,156.845,0.000
2004-10-23,156.950,0.000
2004-11-02,156.807,0.000
2004-11-12,156.760,0.000
2004-12-22,156.852,0.000
2004-12-31,156.897,0.001
2005-01-10,156.829,0.000
2005-01-20,156.958,0.000
2005-01-30,156.847,0.000
2005-02-09,156.874,0.001
2005-02-19,156.906,0.000
2005-03-01,156.958,0.001
2005-03-21,156.784,0.032
2005-03-31,156.657,0.031
2005-04-19,156.747,0.001
2005-04-29,156.731,0.001
2005-05-19,157.075,0.000
2005-05-29,156.909,0.000
2005-06-08,157.084,0.000
2005-06-18,157.077,0.001
2005-06-28,157.181,0.000
2005-07-18,156.994,0.000
2005-08-07,156.926,0.000
2005-08-16,156.893,0.000
2005-08-26,157.023,0.000
2005-09-05,156.915,0.000
2005-09-15,156.939,0.000
2005-10-05,156.733,0.000
2005-10-15,156.862,0.001
2005-10-25,156.788,0.000
2005-11-04,156.811,0.001
2005-11-14,156.881,0.000
2005-11-24,156.775,0.001
2005-12-23,156.583,0.000
2006-01-02,156.816,0.001
2006-01-12,156.639,0.000
2006-01-22,156.858,0.000
2006-02-01,156.877,0.000
2006-02-11,156.898,0.000
2006-02-21,156.856,0.000
2006-03-03,156.906,0.000
2006-03-13,156.839,0.004
2006-03-23,156.694,0.001
2006-04-02,156.725,0.002
2006-04-11,156.770,0.001
2006-04-21,156.771,0.000
2006-05-01,156.904,0.000
2006-05-11,156.881,0.000
2006-05-21,157.120,0.000
2006-05-31,157.160,0.001
2006-06-10,157.232,0.000
2006-06-20,157.011,0.001
2006-06-30,157.010,0.000
2006-07-10,157.025,0.002
2006-07-30,156.977,0.000
2006-08-08,157.054,0.001
